#,评分,标题,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
1,65.0,OLYMPUS STYLUS EPIC ALL WEATHER ULTRA COMPACT 35MM CAMERA 1:2.8 LENS N MINT,Olympus,Film Cameras,Used,630.54,CAD,"FIXED_PRICE,BEST_OFFER",grail:STYLUS EPIC;good-cond,CA,ked222ked,98.3,2026-08-06T00:40:28.000Z,,https://www.ebay.ca/itm/198550513920?hash=item2e3a886900:g:7dcAAeSwTy5qYA0C,https://i.ebayimg.com/images/g/7dcAAeSwTy5qYA0C/s-l225.jpg
2,61.0,Nikon FM2 35mm SLR – Excellent Minty – Nikkor 50mm f/2 – Tested Accurate Shutter,Nikon,Film Cameras,Used,469.52,CAD,"FIXED_PRICE,BEST_OFFER",grail:FM2;mount:nikon f,CA,viewfinder_vault,100.0,2026-08-05T21:29:30.000Z,,https://www.ebay.ca/itm/188749126277?hash=item2bf2531a85:g:3g0AAeSwf79qc6p9,https://i.ebayimg.com/images/g/3g0AAeSwf79qc6p9/s-l225.jpg
3,56.0,Canon Lens FD 50MM f/1.8 S.C.,Canon,Lenses,Used,50.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon fd;underpriced(med $199),CA,ezekieldundas3,0.0,2026-08-05T20:51:54.000Z,,https://www.ebay.ca/itm/407123063108?hash=item5eca6cf144:g:XbMAAeSwYexqc6Fu,https://i.ebayimg.com/images/g/XbMAAeSwYexqc6Fu/s-l225.jpg
4,55.0,Pentax K1000 35mm film camera with 50mm f1.7 lens,Pentax,Film Cameras,Used,185.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:K1000,CA,sask.photog,100.0,2026-08-06T13:39:18.000Z,,https://www.ebay.ca/itm/158160501018?hash=item24d319b91a:g:kd8AAeSwstBqbnRs,https://i.ebayimg.com/images/g/kd8AAeSwstBqbnRs/s-l225.jpg
5,55.0,Olympus Stylus Epic Zoom 80 Black 35mm Film Point and Shoot Camera,Olympus,Film Cameras,Used,359.99,CAD,FIXED_PRICE,grail:Stylus Epic,CA,prairie-pickers,100.0,2026-08-06T01:32:54.000Z,,https://www.ebay.ca/itm/128013057771?hash=item1dce2c3eeb:g:nV0AAeSwTy5qc9BK,https://i.ebayimg.com/images/g/nV0AAeSwTy5qc9BK/s-l225.jpg
6,55.0,Used Sony Vario Tessar 16-70mm F/4 ZA OSS T* Lens Carl Zeiss E-Mount,Zeiss,Lenses,Used,389.99,CAD,FIXED_PRICE,grail:Tessar,CA,tcxd2010,100.0,2026-08-05T20:10:26.000Z,,https://www.ebay.ca/itm/137590245526?hash=item2009048896:g:SWAAAeSwXiNqc5fe,https://i.ebayimg.com/images/g/SWAAAeSwXiNqc5fe/s-l225.jpg
7,50.0,Nikon Lens Series E 50mm 1 1:8 Camera Lens Minor Spec In Lens Comes W Filter,Nikon,Lenses,For parts or not working,69.99,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $211),CA,blurredretro,99.5,2026-08-05T22:01:01.000Z,,https://www.ebay.ca/itm/366577485463?hash=item5559b88697:g:AlAAAeSwsFZqbRKD,https://i.ebayimg.com/images/g/AlAAAeSwsFZqbRKD/s-l225.jpg
8,49.0,Minolta Film Camera Minolta SRT200 35mm w/ 50mm lens,Minolta,Film Cameras,For parts or not working,35.0,CAD,FIXED_PRICE,grail:SRT200,CA,jasonadams73,100.0,2026-08-05T21:38:20.000Z,,https://www.ebay.ca/itm/206468574503?hash=item30127c6d27:g:5z0AAeSwgvZqc60Z,https://i.ebayimg.com/images/g/5z0AAeSwgvZqc60Z/s-l225.jpg
9,48.0,Deardorff 5x7 4x5 Large Format Wooden View Camera kit with 210 Schneider Xenar,Deardorff,Film Cameras,Used,3300.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,tpm067_1,100.0,2026-08-06T09:21:09.000Z,,https://www.ebay.ca/itm/358890934166?hash=item538f910f96:g:780AAeSwN09qdEro,https://i.ebayimg.com/images/g/780AAeSwN09qdEro/s-l225.jpg
10,46.0,Tokina 100-300mm f5.6 Zoom Lens for Nikon AI AIS Manual Focus With Extras. P7,Nikon,Lenses,Used,119.0,CAD,"FIXED_PRICE,AUCTION",mount:nikon f;auction,CA,extrastockshop,100.0,2026-08-06T12:15:01.000Z,2026-08-13T12:15:01.000Z,https://www.ebay.ca/itm/267749197357?hash=item3e5718862d:g:~j0AAeSwU6VqckKp,https://i.ebayimg.com/images/g/~j0AAeSwU6VqckKp/s-l225.jpg
11,44.0,Vintage Minolta 16 Subminiature Camera w/ Rokkor 3.5/25 & Case Works,Minolta,Vintage Cameras,,60.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,foundonpei,99.7,2026-08-06T00:00:23.000Z,,https://www.ebay.ca/itm/206468796442?hash=item30127fd01a:g:GVQAAOSwdCZkw7u7,https://i.ebayimg.com/images/g/GVQAAOSwdCZkw7u7/s-l225.jpg
12,44.0,Canon EOS 630 35mm SLR Film Camera Body Only EF Mount Tested Working,Canon,Film Cameras,Used,69.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon ef,CA,somedvdguy,100.0,2026-08-06T17:07:06.000Z,,https://www.ebay.ca/itm/168593749641?hash=item2740f87689:g:vrkAAeSwVDJqcWa~,https://i.ebayimg.com/images/g/vrkAAeSwVDJqcWa~/s-l225.jpg
13,44.0,Vintage Pentax MZ-50 SLR Film Camera + SMC Pentax-FA 28-80mm Lens & Lowepro Bag,Pentax,Vintage Cameras,,134.99,CAD,FIXED_PRICE,mount:pentax k,CA,inspector-jon,99.5,2026-08-06T00:03:51.000Z,,https://www.ebay.ca/itm/358889384548?hash=item538f796a64:g:HBgAAeSwlOZqc875,https://i.ebayimg.com/images/g/HBgAAeSwlOZqc875/s-l225.jpg
14,44.0,[Near Mint] Nikon AF NIKKOR 24mm f/2.8D Wide Angle Lens,Nikon,Lenses,Used,220.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f;good-cond,CA,yuk506_9,100.0,2026-08-06T15:23:39.000Z,,https://www.ebay.ca/itm/188752759618?hash=item2bf28a8b42:g:G3UAAeSw~8JqdKab,https://i.ebayimg.com/images/g/G3UAAeSw~8JqdKab/s-l225.jpg
15,44.0,[Near Mint] Nikon AF-S NIKKOR 35mm f/1.8G ED FX Lens,Nikon,Lenses,Used,370.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f;good-cond,CA,yuk506_9,100.0,2026-08-06T03:12:10.000Z,,https://www.ebay.ca/itm/188750341157?hash=item2bf265a425:g:V7UAAeSwn2Jqc~sW,https://i.ebayimg.com/images/g/V7UAAeSwn2Jqc~sW/s-l225.jpg
16,42.0,"Brand new Fujifilm Instax Mini 12 Instant Camera, Pastel Blue",Fujifilm,Film Cameras,New,110.0,CAD,"FIXED_PRICE,AUCTION",auction,CA,jakdownin-3,100.0,2026-08-06T14:54:15.000Z,2026-08-16T14:54:15.000Z,https://www.ebay.ca/itm/407124905080?hash=item5eca890c78:g:0skAAeSwUg1p~7n-,https://i.ebayimg.com/images/g/0skAAeSwUg1p~7n-/s-l225.jpg
17,40.0,Sony 1.7x VCL-DH1757 Tele Conversion Lens for the DSC-HX1,Sony,Lenses,Used,79.95,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $764),CA,vendingfams,99.4,2026-08-05T18:58:12.000Z,,https://www.ebay.ca/itm/358888578295?hash=item538f6d1cf7:g:MFsAAeSwg41o3lGT,https://i.ebayimg.com/images/g/MFsAAeSwg41o3lGT/s-l225.jpg
18,38.0,Minolta Freedom III Quartz Date Point And Shoot Film Camera w/ Strap,Minolta,Film Cameras,Used,42.75,CAD,"FIXED_PRICE,BEST_OFFER",,CA,iv-531684,100.0,2026-08-06T04:05:38.000Z,,https://www.ebay.ca/itm/407123698208?hash=item5eca76a220:g:K~MAAeSwvM9qdAc9,https://i.ebayimg.com/images/g/K~MAAeSwvM9qdAc9/s-l225.jpg
19,38.0,Minolta Minolta-16 Model P Subminiature Film Camera With Film Case,Minolta,Film Cameras,Used,49.95,CAD,FIXED_PRICE,,CA,foto*works,99.9,2026-08-05T18:12:19.000Z,,https://www.ebay.ca/itm/267748749749?hash=item3e5711b1b5:g:KukAAeSwEMdqc3qv,https://i.ebayimg.com/images/g/KukAAeSwEMdqc3qv/s-l225.jpg
20,38.0,Ricoh Caplio R30 Point & Shoot Camera,Ricoh,Film Cameras,For parts or not working,65.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,e_and06,99.4,2026-08-06T00:57:58.000Z,,https://www.ebay.ca/itm/278251500639?hash=item40c914f45f:g:hSkAAeSwXiNqc9uc,https://i.ebayimg.com/images/g/hSkAAeSwXiNqc9uc/s-l225.jpg
21,38.0,Pentax Espio 115S / IQZoom 115-S 35mm Film Camera | Tested | Clean,Pentax,Film Cameras,Used,67.19,CAD,"FIXED_PRICE,BEST_OFFER",,CA,miggysrediscoveredgoods,100.0,2026-08-06T09:01:17.000Z,,https://www.ebay.ca/itm/398255875622?hash=item5cb9e66626:g:GpcAAeSwnWRpqIyj,https://i.ebayimg.com/images/g/GpcAAeSwnWRpqIyj/s-l225.jpg
22,38.0,Canon PowerShot S5 IS 8.0MP Digital Camera w/ Case Tested & Working,Canon,Digital Cameras,Used,69.95,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $254),CA,bellevegasshop,99.1,2026-08-05T18:58:36.000Z,,https://www.ebay.ca/itm/117342633409?hash=item1b522a7dc1:g:KAkAAeSwNBlp-Qv3,https://i.ebayimg.com/images/g/KAkAAeSwNBlp-Qv3/s-l225.jpg
23,38.0,FUJIFILM 35mm Film Camera Zoom Date 90 Point & Shoot 38-90mm w/Box / Paperwork,Fujifilm,Film Cameras,Used,69.97,CAD,"FIXED_PRICE,BEST_OFFER",,CA,relic-replay,99.5,2026-08-05T23:10:48.000Z,,https://www.ebay.ca/itm/168591941377?hash=item2740dcdf01:g:uBkAAeSwHjNqc8Je,https://i.ebayimg.com/images/g/uBkAAeSwHjNqc8Je/s-l225.jpg
24,38.0,Fuji DL-1000 Zoom Fujinon 35mm Film Point & Shoot Camera with Box / paperwork!,Fuji,Film Cameras,Used,69.97,CAD,"FIXED_PRICE,BEST_OFFER",,CA,relic-replay,99.5,2026-08-05T23:07:23.000Z,,https://www.ebay.ca/itm/168591930545?hash=item2740dcb4b1:g:hx8AAeSwWUhqc8Gw,https://i.ebayimg.com/images/g/hx8AAeSwWUhqc8Gw/s-l225.jpg
25,38.0,Nikon N2020 AF 35mm Film Camera w/ Nikon 35-70mm Lens Tested & Working,Nikon,Film Cameras,Used,74.95,CAD,"FIXED_PRICE,BEST_OFFER",,CA,perpato,100.0,2026-08-06T15:04:04.000Z,,https://www.ebay.ca/itm/287507573431?hash=item42f0c96ab7:g:E-kAAeSwk-9qdKHW,https://i.ebayimg.com/images/g/E-kAAeSwk-9qdKHW/s-l225.jpg
26,38.0,Olympus Super Zoom 3000 Film Camera,Olympus,Film Cameras,Used,81.98,CAD,"FIXED_PRICE,BEST_OFFER",,CA,br_981598,100.0,2026-08-05T20:17:03.000Z,,https://www.ebay.ca/itm/168591628622?hash=item2740d8194e:g:tPsAAeSwhQNqc5oq,https://i.ebayimg.com/images/g/tPsAAeSwhQNqc5oq/s-l225.jpg
27,38.0,Nikon Coolpix P100 26x Zoom 10.3mp Black Digital Camera TESTED WORKING,Nikon,Digital Cameras,Used,84.95,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $310),CA,hurtz17,100.0,2026-08-06T00:25:48.000Z,,https://www.ebay.ca/itm/168592075559?hash=item2740deeb27:g:7esAAeSwKzZqc9Oh,https://i.ebayimg.com/images/g/7esAAeSwKzZqc9Oh/s-l225.jpg
28,38.0,Vintage Pentax Espio 70 35mm Point & Shoot Film Camera - Original Case,Pentax,Film Cameras,Used,89.99,CAD,FIXED_PRICE,,CA,inspector-jon,99.5,2026-08-06T11:02:03.000Z,,https://www.ebay.ca/itm/358891179231?hash=item538f94ccdf:g:iPAAAeSwEG1qdGiF,https://i.ebayimg.com/images/g/iPAAAeSwEG1qdGiF/s-l225.jpg
29,38.0,Canon PowerShot A530 5.0MP Digital Camera - Silver,Canon,Digital Cameras,Used,90.0,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $254),CA,time4tims,100.0,2026-08-05T21:51:30.000Z,,https://www.ebay.ca/itm/236987742864?hash=item372d91fa90:g:GRUAAeSwUKRqc6bJ,https://i.ebayimg.com/images/g/GRUAAeSwUKRqc6bJ/s-l225.jpg
30,38.0,Canon PowerShot A560 Silver Digital Camera 7.1 MP 4x Optical Zoom Tested Works!,Canon,Digital Cameras,Used,98.0,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $254),CA,heidi.haus,100.0,2026-08-05T18:22:03.000Z,,https://www.ebay.ca/itm/236987367806?hash=item372d8c417e:g:ebYAAeSw8KJqc378,https://i.ebayimg.com/images/g/ebYAAeSw8KJqc378/s-l225.jpg
31,38.0,CANON POWERSHOT A1200 HD 12.1 MP 4X OPTICAL ZOOM DIGITAL CAMERA,Canon,Digital Cameras,Used,99.75,CAD,FIXED_PRICE,underpriced(med $254),CA,bestsellersbookstore,99.9,2026-08-06T00:25:04.000Z,,https://www.ebay.ca/itm/800468125850?hash=itemba5f9e489a:g:EyoAAeSw0sdqc9KI,https://i.ebayimg.com/images/g/EyoAAeSw0sdqc9KI/s-l225.jpg
32,38.0,Canon PowerShot SX120 IS Digital Camera,Canon,Digital Cameras,Used,110.0,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $254),CA,dxrxj_collectables,100.0,2026-08-06T17:47:13.000Z,,https://www.ebay.ca/itm/198552231408?hash=item2e3aa29df0:g:~3IAAeSw8KJqWQ2z,https://i.ebayimg.com/images/g/~3IAAeSw8KJqWQ2z/s-l225.jpg
33,38.0,Canon Sure Shot Zoom‑S 35mm Film Camera – Tested Working – Clean – Case Included,Canon,Film Cameras,Used,112.45,CAD,"FIXED_PRICE,BEST_OFFER",,CA,viewfinder_vault,100.0,2026-08-05T21:31:09.000Z,,https://www.ebay.ca/itm/188749145066?hash=item2bf25363ea:g:nC8AAeSwRTtqc6ti,https://i.ebayimg.com/images/g/nC8AAeSwRTtqc6ti/s-l225.jpg
34,38.0,"Canon PowerShot D10 12.1MP Compact Digital Camera + Battery, Charger, SD Card",Canon,Digital Cameras,Used,114.0,CAD,FIXED_PRICE,underpriced(med $254),CA,canadianflipper902,99.6,2026-08-05T18:32:00.000Z,,https://www.ebay.ca/itm/307109247516?hash=item4781233a1c:g:RcsAAeSwOzFqc4Ew,https://i.ebayimg.com/images/g/RcsAAeSwOzFqc4Ew/s-l225.jpg
35,38.0,Konica Auto S3 Black 35mm Rangefinder film camera Hexanon 38mm 1:1.8 Lens,Konica,Film Cameras,For parts or not working,125.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,msbull77,100.0,2026-08-06T17:17:12.000Z,,https://www.ebay.ca/itm/206470608771?hash=item30129b7783:g:Qx8AAeSwxkhqdMFm,https://i.ebayimg.com/images/g/Qx8AAeSwxkhqdMFm/s-l225.jpg
36,38.0,Nikon Coolpix S4 Digital Camera 6MP Box Manual SD Card Cable Case Working,Nikon,Digital Cameras,Used,129.97,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $310),CA,ypointpickers,100.0,2026-08-06T15:13:26.000Z,,https://www.ebay.ca/itm/128014035878?hash=item1dce3b2ba6:g:~cwAAeSwRYJqdKGm,https://i.ebayimg.com/images/g/~cwAAeSwRYJqdKGm/s-l225.jpg
37,38.0,Olympus Infinity STYLUS ZOOM 115 DLX 35mm Point & Shoot FILM Camera Silver NM,Olympus,Vintage Cameras,,149.75,CAD,"FIXED_PRICE,BEST_OFFER",,CA,pictures-r-us,100.0,2026-08-05T20:50:43.000Z,,https://www.ebay.ca/itm/407123062052?hash=item5eca6ced24:g:3~EAAeSwC~Zqc57F,https://i.ebayimg.com/images/g/3~EAAeSwC~Zqc57F/s-l225.jpg
