寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,canon sure shot untested/ for parts,Canon,Film Cameras,For parts or not working,29.0,CAD,"FIXED_PRICE,BEST_OFFER",4,640,as-is;underpriced(med 100),CA,avenueshopswapsell,99.4,2026-08-15T15:37:17.000Z,,https://www.ebay.ca/itm/117361116008?hash=item1b53448368:g:TYwAAeSwbspqgIjX,https://i.ebayimg.com/images/g/TYwAAeSwbspqgIjX/s-l225.jpg
查无市价,72.0,Yashica Zoomate 70Z 35mm Film Camera 38-70mm Lens Tested Case,Yashica,Film Cameras,Used,47.49,CAD,"FIXED_PRICE,BEST_OFFER",15,1161,underpriced(med 120),CA,vintage-vault-kent,99.5,2026-08-16T01:03:56.000Z,,https://www.ebay.ca/itm/377421677598?hash=item57e015c41e:g:ns0AAeSwy3xptD-3,https://i.ebayimg.com/images/g/ns0AAeSwy3xptD-3/s-l225.jpg
残件/按现状,67.0,Minolta Hi-Matic SD Point & Shoot 35mm Film Camera Parts Bad Battery Contacts,Minolta,Film Cameras,For parts or not working,30.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,grail:Hi-Matic,CA,brooksie_71,99.6,2026-08-15T11:56:18.000Z,,https://www.ebay.ca/itm/287526568400?hash=item42f1eb41d0:g:MIsAAeSwVPppGRCD,https://i.ebayimg.com/images/g/MIsAAeSwVPppGRCD/s-l225.jpg
残件/按现状,64.0,Canon EOS Rebel S 35mm SLR Film Camera Body Only EF Mount Untested Strap,Canon,Film Cameras,Used,47.49,CAD,"FIXED_PRICE,BEST_OFFER",20,1005,mount:canon ef;as-is,CA,vintage-vault-kent,99.5,2026-08-16T01:03:56.000Z,,https://www.ebay.ca/itm/377421677593?hash=item57e015c419:g:8S4AAeSwEWdp3SeV,https://i.ebayimg.com/images/g/8S4AAeSwEWdp3SeV/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film Manual Camera with 50mm Lens Untested Read Vintage Japan,Canon,Film Cameras,For parts or not working,99.99,CAD,"FIXED_PRICE,BEST_OFFER",16,1600,grail:AE-1;as-is,CA,vincesvintage*,100.0,2026-08-16T02:10:12.000Z,,https://www.ebay.ca/itm/168616893557?hash=item2742599c75:g:LckAAeSwMk1qfv3D,https://i.ebayimg.com/images/g/LckAAeSwMk1qfv3D/s-l225.jpg
查无市价,55.0,Contax T2 Film Camera - Titan Silver (ONLY CAMERA),Contax,Film Cameras,Used,1100.0,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,grail:Contax T2,CA,teedotmichael,0.0,2026-08-16T00:39:57.000Z,,https://www.ebay.ca/itm/278284464558?hash=item40cb0bf1ae:g:37cAAeSwT0pqgQYF,https://i.ebayimg.com/images/g/37cAAeSwT0pqgQYF/s-l225.jpg
残件/按现状,55.0,1929 Leica I Model A Black Paint #24944 w/ Leitz Elmar 50mm f/3.5 Nickel - As Is,Leica,Film Cameras,For parts or not working,1900.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,grail:Elmar;as-is,CA,em-767607,100.0,2026-08-15T19:42:56.000Z,,https://www.ebay.ca/itm/366607864405?hash=item555b881255:g:qc8AAeSw4qpqgLmO,https://i.ebayimg.com/images/g/qc8AAeSw4qpqgLmO/s-l225.jpg
查无市价,54.0,VOIGTLANDER VF 35 F 35MM POINT AND SHOOT FILM CAMERA WITH VOIGTAR 2.8/38MM LENS,Voigtlander,Film Cameras,Used,124.75,CAD,FIXED_PRICE,9,1600,,CA,bestsellersbookstore,99.9,2026-08-15T22:40:48.000Z,,https://www.ebay.ca/itm/800514593398?hash=itemba62635276:g:jDQAAeSwWQxqgOri,https://i.ebayimg.com/images/g/jDQAAeSwWQxqgOri/s-l225.jpg
残件/按现状,50.0,Fujifilm FinePix 2650 digital camera - Tested! No Memory Card READ DESCRIPTION!,Fujifilm,Digital Cameras,Used,30.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1599,underpriced(med 96),CA,roxystreasuretrove,100.0,2026-08-16T02:02:22.000Z,,https://www.ebay.ca/itm/287527695838?hash=item42f1fc75de:g:w2cAAeSwXI1qdq1T,https://i.ebayimg.com/images/g/w2cAAeSwXI1qdq1T/s-l225.jpg
残件/按现状,50.0,Pentax Super Program 35mm Film Camera Body (For Parts OR Repair),Pentax,Film Cameras,For parts or not working,36.24,CAD,FIXED_PRICE,4,1077,as-is,CA,artisanalleyca,100.0,2026-08-16T04:44:26.000Z,,https://www.ebay.ca/itm/820008268545?hash=itembeec4d3301:g:zRMAAeSwU69pl6J7,https://i.ebayimg.com/images/g/zRMAAeSwU69pl6J7/s-l225.jpg
残件/按现状,50.0,Canon Sure Shot Max 35mm Point & Shoot Film Camera for Parts / Repair Powers On,Canon,Film Cameras,For parts or not working,54.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,as-is,CA,306videogames,100.0,2026-08-15T04:12:05.000Z,,https://www.ebay.ca/itm/820003977993?hash=itembeec0bbb09:g:yCwAAeSw~uRqfQ4j,https://i.ebayimg.com/images/g/yCwAAeSw~uRqfQ4j/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A720 IS 8MP Digital Camera 6x Zoom Tested - LCD Issue READ,Canon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",17,1600,underpriced(med 188),CA,306videogames,100.0,2026-08-15T04:10:19.000Z,,https://www.ebay.ca/itm/820003971046?hash=itembeec0b9fe6:g:o~IAAeSwOjlqfQ31,https://i.ebayimg.com/images/g/o~IAAeSwOjlqfQ31/s-l225.jpg
残件/按现状,50.0,Konica C35 EF 35mm Film Camera Hexanon 38mm f/2.8 Lens Case Untested,Konica,Film Cameras,Used,75.99,CAD,"FIXED_PRICE,BEST_OFFER",22,1071,mount:canon ef;as-is,CA,vintage-vault-kent,99.5,2026-08-16T01:03:56.000Z,,https://www.ebay.ca/itm/377421677588?hash=item57e015c414:g:5VYAAeSwK4JqJEO2,https://i.ebayimg.com/images/g/5VYAAeSwK4JqJEO2/s-l225.jpg
残件/按现状,48.0,Hasselblad 500 EL/M Camera Body w Original Box + Body Cap - Untested,Hasselblad,Film Cameras,For parts or not working,249.0,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,as-is,CA,andronic,100.0,2026-08-16T05:10:47.000Z,,https://www.ebay.ca/itm/198574415157?hash=item2e3bf51d35:g:WsMAAeSwOQFqJJjc,https://i.ebayimg.com/images/g/WsMAAeSwOQFqJJjc/s-l225.jpg
查无市价,48.0,Olympus Trip 35 - LIKE NEW IN ORIGINAL BOX - Point and shoot 35mm camera MINT!,Olympus,Film Cameras,Used,278.0,CAD,FIXED_PRICE,16,1600,good-cond,CA,boliocamerastore,100.0,2026-08-15T15:27:11.000Z,,https://www.ebay.ca/itm/227477161552?hash=item34f6b20650:g:PuUAAeSwMeVqgIPA,https://i.ebayimg.com/images/g/PuUAAeSwMeVqgIPA/s-l225.jpg
残件/按现状,44.0,CANON POWERSHOT A490 10.0 MP DIGITAL CAMERA + 2GB CARD BROKEN BATTERY DOOR READ,Canon,Digital Cameras,Used,74.75,CAD,FIXED_PRICE,14,1600,as-is;underpriced(med 193),CA,bestsellersbookstore,99.9,2026-08-15T22:43:09.000Z,,https://www.ebay.ca/itm/800514594726?hash=itemba626357a6:g:1fAAAeSwwMBqNugU,https://i.ebayimg.com/images/g/1fAAAeSwwMBqNugU/s-l225.jpg
打包杂件,44.0,Canon T70 Camera Bundle With Lenses FD 35-105mm/50mm/28mm & Bag,Canon,Film Cameras,Used,199.99,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,mount:canon fd,CA,sidehustle18,100.0,2026-08-15T14:37:51.000Z,,https://www.ebay.ca/itm/407146868848?hash=item5ecbd83070:g:tKUAAeSwKTRqgHi3,https://i.ebayimg.com/images/g/tKUAAeSwKTRqgHi3/s-l225.jpg
残件/按现状,40.0,Polaroid OneStep Express Green 600 | Vintage Instant Camera w/ Bag | Untested,Polaroid,Vintage Cameras,,27.28,CAD,"FIXED_PRICE,BEST_OFFER",21,1440,as-is,CA,miggysrediscoveredgoods,100.0,2026-08-16T08:39:12.000Z,,https://www.ebay.ca/itm/398291559932?hash=item5cbc06e5fc:g:aSEAAeSwVkBpkw3C,https://i.ebayimg.com/images/g/aSEAAeSwVkBpkw3C/s-l225.jpg
型号不明,40.0,KENKO C-AF 2x Teleplus MC7 Teleconverter Lens for Pentax P/K,Pentax,Lenses,Used,27.92,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,snopp81,98.3,2026-08-15T08:31:21.000Z,,https://www.ebay.ca/itm/800511634545?hash=itemba62362c71:g:pegAAOSwpYFn-aep,https://i.ebayimg.com/images/g/pegAAOSwpYFn-aep/s-l225.jpg
残件/按现状,40.0,VTG KODAK TOURIST Folding Camera Snap Sack Case untested,Kodak,Vintage Cameras,,38.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,as-is,CA,fortes_awesome_finds,99.4,2026-08-15T21:40:26.000Z,,https://www.ebay.ca/itm/377421373512?hash=item57e0112048:g:DcQAAeSwKRRqA7eD,https://i.ebayimg.com/images/g/DcQAAeSwKRRqA7eD/s-l225.jpg
残件/按现状,40.0,Panasonic Lumix DMC-FS20 Digital Camera FOR PARTS OR REPAIR ⬅️ ⬅️ ⬅️ ⬅️,Panasonic,Digital Cameras,For parts or not working,39.95,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,as-is;underpriced(med 125),CA,northmenresale,99.8,2026-08-15T21:17:15.000Z,,https://www.ebay.ca/itm/820007076732?hash=itembeec3b037c:g:jQMAAeSwlphqJvdW,https://i.ebayimg.com/images/g/jQMAAeSwlphqJvdW/s-l225.jpg
查无市价,40.0,Polaroid Spectra System Instant Film Camera Vintage,Polaroid,Vintage Cameras,,47.49,CAD,"FIXED_PRICE,BEST_OFFER",9,1137,,CA,vintage-vault-kent,99.5,2026-08-16T01:03:56.000Z,,https://www.ebay.ca/itm/377421677590?hash=item57e015c416:g:nN8AAeSwS-xp9UHx,https://i.ebayimg.com/images/g/nN8AAeSwS-xp9UHx/s-l225.jpg
残件/按现状,40.0,Polaroid OneStep SX-70 Rainbow Stripe Instant Camera Manual Case Untested,Polaroid,Vintage Cameras,,56.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1198,as-is,CA,vintage-vault-kent,99.5,2026-08-16T01:03:56.000Z,,https://www.ebay.ca/itm/377421677600?hash=item57e015c420:g:lHcAAeSwlhpqLZa3,https://i.ebayimg.com/images/g/lHcAAeSwlhpqLZa3/s-l225.jpg
打包杂件,38.0,Sony Handycam DCR-DVD105 MiniDVD Camcorder Handycam Bundle Tested,Sony,Camcorders,Used,75.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,underpriced(med 200),CA,brooksie_71,99.6,2026-08-15T12:38:12.000Z,,https://www.ebay.ca/itm/287526633306?hash=item42f1ec3f5a:g:k9wAAeSwfGdqV5Of,https://i.ebayimg.com/images/g/k9wAAeSwfGdqV5Of/s-l225.jpg
残件/按现状,38.0,Vintage Pentax MLE Super Film Camera In Case With Extras As-Is Untested,Pentax,Film Cameras,Used,169.99,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,as-is,CA,buysell360,100.0,2026-08-15T20:10:53.000Z,,https://www.ebay.ca/itm/147507285223?hash=item22581e8ce7:g:DgcAAeSw5UJqgMdI,https://i.ebayimg.com/images/g/DgcAAeSw5UJqgMdI/s-l225.jpg
查无市价,38.0,Minolta XL401 Super 8 movie camera - ALL FUNCTIONS WORKING - NOT FILM TESTED,Minolta,Vintage Cameras,,399.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,grrich9,100.0,2026-08-15T16:58:49.000Z,,https://www.ebay.ca/itm/318734816494?hash=item4a361354ee:g:7jgAAeSwcflqgJbu,https://i.ebayimg.com/images/g/7jgAAeSwcflqgJbu/s-l225.jpg
残件/按现状,34.0,Nikon Nikkor Z dx 50-250mm f/4.5-6.3 vr lens- for parts not working,Nikon,Lenses,For parts or not working,220.0,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,mount:nikon f;as-is,CA,kevinpartovi,100.0,2026-08-15T18:53:35.000Z,,https://www.ebay.ca/itm/227477346970?hash=item34f6b4da9a:g:om4AAeSwinpqgLUF,https://i.ebayimg.com/images/g/om4AAeSwinpqgLUF/s-l225.jpg
残件/按现状,32.0,Polaroid Impulse Instant Film Camera - Grey - SIGNS OF LIFE - Read Description,Polaroid,Vintage Cameras,,38.99,CAD,FIXED_PRICE,6,968,low-feedback,CA,jtcashman,94.0,2026-08-15T19:53:00.000Z,,https://www.ebay.ca/itm/117361363949?hash=item1b53484bed:g:HKkAAeSw86lp1Ki2,https://i.ebayimg.com/images/g/HKkAAeSw86lp1Ki2/s-l225.jpg
残件/按现状,28.0,Olympus Stylus Verve 4.0 Megapixel Camera No Battery Or Charger Parts Only,Olympus,Digital Cameras,For parts or not working,45.65,CAD,"FIXED_PRICE,BEST_OFFER",5,1586,as-is,CA,natmacd_75,100.0,2026-08-16T05:51:33.000Z,,https://www.ebay.ca/itm/307129032051?hash=item4782511d73:g:o2cAAeSwJ2dqgU-U,https://i.ebayimg.com/images/g/o2cAAeSwJ2dqgU-U/s-l225.jpg
残件/按现状,28.0,Olympus SZ-12 14MP 24x Wide Zoom Digital Camera Red UNTESTED FOR PARTS No Batt,Olympus,Digital Cameras,For parts or not working,48.65,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is,CA,natmacd_75,100.0,2026-08-16T05:32:04.000Z,,https://www.ebay.ca/itm/307129014106?hash=item478250d75a:g:mREAAeSwVNpqgUou,https://i.ebayimg.com/images/g/mREAAeSwVNpqgUou/s-l225.jpg
