性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-52%,889.43,80,112.0,[Near MINT] Leica Leitz Wetzlar Elmar 50mm f2.8 Leica M Mount Lens From JAPAN,leica elmar 50mm f2.8,Leica,Lenses,Used,423.99,USD,FIXED_PRICE,grail:Elmar;mount:leica m;good-cond,JP,nipponsamuraitrading,100.0,2026-08-06T14:55:00.000Z,,https://www.ebay.com/itm/188752673174?hash=item2bf2893996:g:wQQAAeSwDRtqdKFy,https://i.ebayimg.com/images/g/wQQAAeSwDRtqdKFy/s-l225.jpg
抄底,-50%,5399.99,11,112.0,[MINT] CONTAX 645 Film Camera AE Finder MFB-1A 120/220 From JAPAN,contax mfb-1a,Contax,Film Cameras,Used,2699.99,USD,"FIXED_PRICE,BEST_OFFER",grail:645;good-cond,JP,happy-camera-japan,99.9,2026-08-05T22:43:49.000Z,,https://www.ebay.com/itm/336728483595?hash=item4e6694e70b:g:~HAAAeSwYlpqYguS,https://i.ebayimg.com/images/g/~HAAAeSwYlpqYguS/s-l225.jpg
抄底,-52%,273.25,80,108.0,[Near MINT] CONTAX Carl Zeiss Sonnar 2.8/90 T* From JAPAN,contax carl zeiss,Contax,Film Cameras,Used,129.99,USD,FIXED_PRICE,grail:Sonnar;good-cond;low-feedback,JP,bytessin,96.8,2026-08-06T02:44:58.000Z,,https://www.ebay.com/itm/366589496488?hash=item555a6fcca8:g:YogAAeSwfVNqc~Vq,https://i.ebayimg.com/images/g/YogAAeSwfVNqc~Vq/s-l225.jpg
抄底,-72%,284.94,80,106.0,Contax T2 Tvs Camera Strap Gray Long Approx. 60Cm Hand,contax t2,Contax,Film Cameras,Used,78.99,USD,FIXED_PRICE,grail:Contax T2,JP,soe-japan,100.0,2026-08-06T13:31:29.000Z,,https://www.ebay.com/itm/257665401384?hash=item3bfe0e0228:g:34gAAeSwFN5qdI0x,https://i.ebayimg.com/images/g/34gAAeSwFN5qdI0x/s-l225.jpg
抄底,-49%,349.99,16,106.0,Video*[Exc++] Contax Carl Zeiss Vario Sonnar 100-300mm f/4.5-5.6 T* MMJ #1d ship,contax sonnar 100-300mm f4.5,Contax,Lenses,Used,179.99,USD,"FIXED_PRICE,BEST_OFFER",grail:Sonnar;good-cond,JP,japan_cameras_store,99.4,2026-08-06T10:32:34.000Z,,https://www.ebay.com/itm/158160078846?hash=item24d31347fe:g:I9cAAeSwsnZqdGKD,https://i.ebayimg.com/images/g/I9cAAeSwsnZqdGKD/s-l225.jpg
超值,-36%,1400.0,15,105.0,[Exc+5] Leica ii D Nickel Elmar 50mm f3.5 From JAPAN,leica nickel elmar,Leica,Film Cameras,Used,899.99,USD,FIXED_PRICE,grail:Leica ii;good-cond,JP,usagi_camera_japan,99.3,2026-08-06T15:39:07.000Z,,https://www.ebay.com/itm/307111206257?hash=item4781411d71:g:XzkAAeSwxghqdKxA,https://i.ebayimg.com/images/g/XzkAAeSwxghqdKxA/s-l225.jpg
抄底,-57%,845.43,46,102.0,[ Near MINT w/ Caps ] SMC Pentax 645 75mm f/2.8 L.S LS For 645 From Japan,pentax smc 75mm f2.8,Pentax,Lenses,Used,359.99,USD,FIXED_PRICE,grail:645;mount:pentax k;good-cond,JP,marcury-29,100.0,2026-08-06T07:15:21.000Z,,https://www.ebay.com/itm/398255640809?hash=item5cb9e2d0e9:g:8MUAAeSw8EFqdDUE,https://i.ebayimg.com/images/g/8MUAAeSw8EFqdDUE/s-l225.jpg
抄底,-51%,1450.03,8,102.0,S Product Carl Zeiss Contax G Biogon 28Mm F2.8 T 11520,zeiss contax biogon,Zeiss,Film Cameras,Used,711.75,USD,FIXED_PRICE,grail:Biogon,JP,soe-japan,100.0,2026-08-06T13:31:30.000Z,,https://www.ebay.com/itm/257665401378?hash=item3bfe0e0222:g:bJkAAeSwG~VqdI3i,https://i.ebayimg.com/images/g/bJkAAeSwG~VqdI3i/s-l225.jpg
超值,-44%,177.75,80,100.0,[Exc+4] Mamiya Press Super 23 Silver Film Camera with 6x9 Film holder From JAPAN,mamiya 23,Mamiya,Film Cameras,Used,99.99,USD,FIXED_PRICE,grail:Mamiya Press;good-cond,JP,ageha.b-48,100.0,2026-08-06T13:21:53.000Z,,https://www.ebay.com/itm/800470810537?hash=itemba5fc73fa9:g:feIAAeSwPghqSPY9,https://i.ebayimg.com/images/g/feIAAeSwPghqSPY9/s-l225.jpg
超值,-44%,322.49,66,100.0,🌸Read! [Exc+5] Contax RTS III Black 35mm SLR Film Camera Body From JAPAN#02,contax rts iii,Contax,Film Cameras,Used,179.99,USD,"FIXED_PRICE,BEST_OFFER",grail:Contax RTS;good-cond,JP,sakura.camera.japan.37,100.0,2026-08-06T01:17:09.000Z,,https://www.ebay.com/itm/318684349492?hash=item4a33114434:g:NsgAAeSwih9pOjYK,https://i.ebayimg.com/images/g/NsgAAeSwih9pOjYK/s-l225.jpg
超值,-26%,271.5,72,100.0,[Almost MINT] Leica R4 From JAPAN,leica r4,Leica,Film Cameras,Used,199.99,USD,FIXED_PRICE,grail:Leica R4;good-cond,JP,usagi_camera_japan,99.3,2026-08-06T15:34:02.000Z,,https://www.ebay.com/itm/307111198130?hash=item478140fdb2:g:gAEAAeSw1cJqdKuI,https://i.ebayimg.com/images/g/gAEAAeSw1cJqdKuI/s-l225.jpg
超值,-33%,525.0,21,100.0,Meter Works [Near MINT] Leica R7 Black 35mm SLR Film Camera Body From JAPAN,leica r7,Leica,Film Cameras,Used,349.99,USD,FIXED_PRICE,grail:Leica R7;good-cond,JP,kaho_camera,100.0,2026-08-06T02:25:36.000Z,,https://www.ebay.com/itm/188750140352?hash=item2bf26293c0:g:7NwAAeSw371qdFJF,https://i.ebayimg.com/images/g/7NwAAeSw371qdFJF/s-l225.jpg
超值,-40%,599.99,80,100.0,Read [MINT] LEICA IIIf Red Dial Rangefinder 35mm Film Camera body From JAPAN,leica iiif red,Leica,Film Cameras,Used,359.0,USD,FIXED_PRICE,grail:LEICA IIIf;good-cond,JP,bgnsc_47,100.0,2026-08-06T16:33:34.000Z,,https://www.ebay.com/itm/398257098995?hash=item5cb9f910f3:g:1kgAAeSwSKxqdLfe,https://i.ebayimg.com/images/g/1kgAAeSwSKxqdLfe/s-l225.jpg
